Title,Description,Job Types,City,Country,Working Location,Budget,Budget_per,Content Verticals,Required Skills,Required Softwares,Required Platforms,Creative Styles,reference_links
Alan Chikin Chow,"<p>HR Manager (freelance)</p>
<p>Alan Chikin Chow, a YouTuber with over 40M+ subscribers and the #1 YouTube Shorts Creator, is seeking an freelance HR manager.</p>
<p>HR Manager duties include:</p>
<ul>
<li>Keeping track of employee days off and hours</li>
<li>Creating and enforcing policies</li>
<li>Employee performance reviews</li>
<li>Hiring and firing</li>
</ul>
<p>//</p>
<p>Alan Chikin Chow is a breakthrough digital creator and actor, topping the charts as the #1 YouTube Shorts Creator in the Country. Alan has amassed over 60 million followers and 50 billion views across platforms. Boasting an average of 1-2 billion views per month, Alan consistently tops weekly YouTube leaderboards, peaking as the #1 Most Viewed YouTube Channel in the US.</p>
<p>This year, Alan was honored in the acclaimed Forbes 30 Under 30, Forbes Top Creators, and Gold House A100 lists. Alan was also highlighted by Fortune, ABC News, and CBS News as a trailblazer in the new age of storytelling. It&rsquo;s no surprise that Alan&rsquo;s worldwide success has attracted the attention of today&rsquo;s top brands, including Netflix, Old Spice, and McDonald&rsquo;s.&nbsp;</p>
<p>A true multifaceted talent, Alan has appeared as an actor in ABC's &ldquo;Grey's Anatomy&rdquo;, Hulu's &ldquo;Into the Dark&rdquo;, and the 2024 reboot of &ldquo;Mean Girls&rdquo;. Recently, Alan launched a new highly successful drama series on his channel called &ldquo;Alan&rsquo;s Universe&rdquo;, which has already garnered over 100 million views.</p>
<p>Alan's vision is to create a multifaceted entertainment company with successful arms across all forms of media. With his mission of inspiring positive change in culture, Alan continues to push the limits of possibility throughout his career and break barriers as an actor, creator, writer, and entrepreneur. And yes, Alan's real middle name is Chikin.</p>",Business Operations,NULL,NULL,NULL,1000,month,Comedy,People Management,NULL,"Facebook, Instagram, Snapchat, TikTok, YouTube",Energetic,"https://www.youtube.com/watch?v=GOpvq3AWrAE&t=23s, https://youtu.be/TZZTECbgjI4?si=RFkz1ncOho7L2WzB"
JT Casey,"<p>Hello! My name's JT and I'm currently looking for a Thumbnail Designer to join my small team for my main YouTube channel @jtcasey.</p>
<p>&nbsp;</p>
<p>A few things I require:<br><br></p>
<ul>
<li><span style=""font-size: 1rem; letter-spacing: 0.15px; font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;"">MUST have experience working with other creators who have over 1M subscribers.<br><br></span></li>
<li><span style=""font-size: 1rem; letter-spacing: 0.15px; font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;"">&nbsp;Have a 3-day or less turnaround time for the rough draft. (We will polish over the course of a week)<br><br></span></li>
<li>&nbsp;Be good at working in a team environment! (Our team is super small and we keep it that way for a reason)<br><br></li>
<li>Be versatile (so much can change so fast) so just be flexible.</li>
</ul>
<p>&nbsp;</p>
<p><span style=""font-size: 1rem; letter-spacing: 0.15px;"">I would be looking for this artist to start ASAP. we have tons of videos that need thumbnails. So if you're interested please let me know.</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: 1rem; letter-spacing: 0.15px;"">Our cadence for videos is every 2 weeks. I'm looking for someone long-term to fit this role (1 year +) if you can't meet this cadence please don't apply.</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: 1rem; letter-spacing: 0.15px;"">So excited to have you join the team! </span></p>",Thumbnail Designer,NULL,NULL,NULL,350,project,"Challenges, IRL, Lifestyle & Vlogs, Travel","CTR Optimization, Graphic Design, Thumbnail Design",Adobe Photoshop,YouTube,"Family Friendly, Fast-Paced, High Production","https://youtu.be/8p9NPLvlrv0?si=MkBVZmRGdoBWwIF2, https://youtu.be/8zNucT1Qf0M?si=3Qya1ybmpG8-Gs3B, https://youtu.be/pYEza4_go2E?si=361JdSIreOb6aFEv, https://youtu.be/sEEDI_gBxYI?si=sj-gI0nBVoEqwurn, https://youtu.be/ymvjfu_Hm_8?si=bLd162yeuiL8wa-B"
Hopescope,"<p>Assistant Editor</p>
<p>*** This is an On-Site Position ***&nbsp;</p>
<p>Only apply if you're willing to relocate to the MOST BEAUTIFUL part of Utah!</p>
<p>We will cover your moving costs!</p>
<p>Are you a creative individual with a passion for creativity &amp; innovation?</p>
<p>Do you thrive in dynamic environments where no two days are the same?</p>
<p>If so, we have an exciting opportunity for you!</p>
<p>&nbsp;</p>
<p>Hopescope is becoming much more than a Youtube channel. Girls all over the globe are are excited and inspired by each video she posts. Hope has a loyal following and a vision to expand her brand and videos! As we are growing, we're looking for talented Editors to join our team and take Hopescope to the next level!</p>
<p>&nbsp;</p>
<p>About the Role:</p>
<p>As an Assistant Editor, you'll be at the forefront of our expansion efforts, working closely with Hope and her team to creatively edit videos that tell stories and capture the audience.&nbsp;</p>
<p>&nbsp;</p>
<p>Your main responsibilities will include:</p>
<p>Assemble raw footage in Premier ProRough cut with HopeUse your creativity to weave the stories togetherUse graphics, sound design, coloring, and any other skills you may have. After revisions with Hope, complete the final edits! Support Hope by working on special (and sometimes challenging) projects that will serve the viewer's of Hope's channels!&nbsp;</p>
<p>The Ideal candidate wants to grow their talents and inspire the next generation of editors and creators! Ideal candidate is also chronically online and understands internet culture :)</p>
<p>&nbsp;</p>
<p>About Hope's Audience:</p>
<p>The Viewers are our Hopescope's #1 priority.&nbsp;</p>
<p>Her viewers are about 90% Female, ages 14-34.</p>
<p>You'll be editing longer Youtube videos (20-30 minutes).</p>
<p>The perfect editor already consumes this type of content and understands it from the viewers perspective</p>
<p>&nbsp;</p>
<p>Pay:</p>
<p>Pay will be based off of your skill level and as the company grows, so will you and your income.</p>
<p>Our goal is to find someone who is willing to improve on what we already have and reach for the stars with us!</p>",Video Editor,St. George,United States,in-person,40000,year,"Beauty & Fashion, Entertainment","Audience Retention, Rough Cut & Sequencing, Sound Designing",Adobe Premiere Pro,"Facebook, Instagram, Snapchat, TikTok, YouTube","Aesthetic, Energetic, Family Friendly, Happy","https://youtu.be/14_-LgigVWg?si=KWSn7NIwtJylx3Pp, https://youtu.be/bj9MtssfkgM?si=wg8KgFp9OObKZQA9, https://youtu.be/ksGxob33K7s?si=XEaoHyrGmligCmoi, https://youtu.be/oqkFecoMp5c?si=1ztNvcaxsL5fVDyo, https://youtu.be/UEdlmCt4L5M?si=daVvwRwtPD2orbiQ, https://youtu.be/wt2WGqJkISk?si=YLl5613qDNXFCM4q"
Alan Chikin Chow,"<p>Alan Chikin Chow is a breakthrough digital creator, topping the charts as the #1 YouTube Shorts Creator. Alan has amassed over 70 million followers and 50 billion views across platforms. Boasting an average of 1-2 billion views per month, Alan consistently tops weekly YouTube leaderboards, peaking as the #1 Most Viewed YouTube Channel in the US.</p>
<p>&nbsp;</p>
<p>Description:</p>
<p>Alan is looking to hire a dedicated and reliable remote Social Media Manager to take of uploads, posting, comment management on all social media platforms. <a href=""https://alanchikinchow.com/"">https://alanchikinchow.com/</a></p>
<p>&nbsp;</p>
<p>Responsibilities:&nbsp;</p>
<ul>
<li>In charge of uploads, posting, comment management on all social media platforms</li>
<li>Run analytics and A/B tests of YouTube content</li>
<li>Make necessary posting schedules (posting starts at 5AM PST)</li>
<li>Fluent in English</li>
<li>Must have prior social media manager work for YouTubers!</li>
</ul>",Social Media Manager,NULL,NULL,NULL,3000,month,Entertainment,"Growth & Strategy, Project management, Scheduling posts",NULL,"Facebook, Instagram, Snapchat, TikTok, YouTube","Cinematic, Energetic","https://www.youtube.com/watch?v=TZZTECbgjI4&t=6s, https://youtu.be/PU0B62SzH1w?si=FoLt5M79J9LipVJw"
Piano Superhuman,"<p>Looking for video editor. Tasks will include:</p>
<ul>
<li><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif; font-size: 1rem; letter-spacing: 0.15px;"">Editing audio and video for a YouTube channel</span></li>
<li><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif; font-size: 1rem; letter-spacing: 0.15px;"">Cutting up &amp; editing clips to use for social media</span></li>
</ul>
<p>The videos are piano prank videos. So lots of fast cuts, different camera angles, zooms/pans on reactions, ect.</p>
<p>Here's an example video I did a few weeks ago so you have an idea of the type of editing needed: <a href=""https://youtu.be/Rec8H3vDy94?si=ySfyp-acP4kQiZ5s"">https://youtu.be/Rec8H3vDy94?si=ySfyp-acP4kQiZ5s</a></p>
<p>&nbsp;</p>
<p>Flexible on hiring full-time or on a per-project basis, but either way looking for this to be a long-term job relationship of working together. Pay/hours are negotiable based on</p>
<p>&nbsp;</p>
<p>If interested, please let me know:</p>
<p><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif; font-size: 1rem; letter-spacing: 0.15px;"">1. How many hours are you available to work per week</span></p>
<p><span style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif; font-size: 1rem; letter-spacing: 0.15px;"">2. What is the primary software you use for editing video?</span></p>
<p>-Zach</p>",Video Editor,NULL,NULL,NULL,1000,project,Entertainment,"Audience Retention, Color Grading, Rough Cut & Sequencing, Subtitling",NULL,YouTube,"Energetic, Fast-Paced, Funny, Happy","https://www.youtube.com/watch?v=iX-fDdVGIH0, https://www.youtube.com/watch?v=Jn5inrlYrlc, https://www.youtube.com/watch?v=Ynf633zB8yI&t=50s, https://youtu.be/Rec8H3vDy94?si=ySfyp-acP4kQiZ5s"
Founder Journey - Talking Head Style Videos,"<p>Hi,</p>
<p>I'm the CEO &amp; founder of a seed-stage startup. I am trying to make 3-5 videos per week about a range of topics covering startups, founder journey, and sales &amp; marketing. I post these to LinkedIn, YouTube, and TikTok as a way to build awareness of myself and my company, in order to generate leads for my business. I'm finding it difficult to make the time for filming and editing consistently alongside my other responsibilities. I&rsquo;m looking for someone to help with the editing side of things. I can supply the 4K video files and I need a hand with editing them into the final product. I don't have a strong preference for video editing software, so whatever you prefer.</p>
<p>&nbsp;</p>
<p>Video is still a relatively underused format on LinkedIn, and I would like my videos to stand out with a touch more quality in the edit than most other content on that platform.&nbsp;</p>
<p>&nbsp;</p>
<p>Is this something you think you&rsquo;d be open to building a long term relationship with?</p>
<p>&nbsp;</p>
<p>Feel free to have a look at my LinkedIn profile to see some of my recent videos for an idea of my content.</p>
<p>&nbsp;</p>
<p>Looking forward to hearing from you!</p>",Video Editor,NULL,NULL,NULL,3000,month,Education,"Color Grading, Rough Cut & Sequencing, Sound Designing, Sourcing Stock Footage, Splice & Dice, Storyboarding, Subtitling, Thumbnail Design",NULL,"TikTok, YouTube","Aesthetic, Eccentric, Energetic, Fast-Paced, Helpful, Talking Head","https://www.linkedin.com/posts/tobiaswillcocks_people-management-is-an-irrelevant-skill-activity-7206592812874674176-EKj9?utm_source=share&utm_medium=member_desktop, https://www.youtube.com/watch?v=_8mFCRohlOA, https://www.youtube.com/watch?v=Fq0VDeyMMW4, https://youtu.be/ajg_Jz37maU, https://youtu.be/YT7tQzmGRLA?si=JTYw-XvDlW2U5AYe"
Jesser Reacts,<p>The Jesser Reacts channel is looking for a Thumbnail Designer.</p>,Thumbnail Designer,NULL,NULL,NULL,70000,year,"Entertainment, Gaming, Lifestyle & Vlogs, Sports & Fitness",Graphic Design,NULL,YouTube,Family Friendly,"https://www.youtube.com/watch?v=Dt-IFSvDJic, https://www.youtube.com/watch?v=pSKFdrjio_s"
Dhar Mann Studios,"<p><strong>ABOUT CHANGING LIVES PRODUCTIONS:</strong></p><p>Changing Lives Productions is the video production company of Dhar Mann Studios, aimed at creating positive content for the social media generation. Our short, motivational videos focused on life, business, and relationships receive over 1 Billion views monthly and have garnered over 40 Billion views on Facebook, YouTube, Instagram and TikTok. The team is led by Dhar Mann, a mission-driven entrepreneur with a global audience of over 100 Million social media followers and one of the highest viewed content creators in the world today. Our stories depict real life situations shown by actors that teach important life lessons. The company is driven by one founding principle: We’re not just telling stories, we’re changing lives.</p><p><br></p><p><strong>BIG PICTURE:<br></strong>We are seeking an experienced Digital Series Producer to develop and produce a new series about planning big events for special moments.&nbsp; This role involves creating the structure and format of the show, beating out episodes, casting stories and talent, writing scripts, overseeing the production and delivery of the series.The ideal candidate will have a strong background in highly efficient digital media production, YouTube content expertise, and a passion for transformational and inspirational content. &nbsp; While leading this new initiative you will work closely with the senior leadership team and the talent to ensure we create a highly viewed and emotionally satisfying format.</p><p><br></p><p><strong>HOW YOU’LL SPEND YOUR TIME:</strong></p><ul><li><p>Develop and define the show’s format and structure, ensuring it aligns with our brand and engages our target audience</p></li><li><p>Source uplifting and inspirational stories to build emotional stories and visual reveals that capture viewers</p></li><li><p>Manage and staff all phases of production, from pre-production through post-production.</p></li><li><p>HIre and coordinate with writers, directors, editors, and other production staff.</p></li><li><p>Oversee project timeliness, budgeting, scheduling, and resource allocation for each project.</p></li><li><p>Ensure timely delivery of episodes while maintaining high production values.</p></li><li><p>Collaborate with marketing and distribution teams to maximize audience reach.</p></li><li><p>Monitor trends and audience preferences to continuously improve the content and presentation of the show</p></li><li><p>Evaluate viewer feedback and analytics to refine and adjust the show format and content</p><p></p></li></ul><p><strong>WHAT YOU HAVE:</strong></p><ul><li><p>A minimum of 5 years working within the digital space in a Showrunner/Producer capacity</p></li><li><p>Excellent storytelling and creative development abilities</p></li><li><p>Strong leadership and project management skills</p></li><li><p>Proficiency in production software and tools&nbsp;</p></li><li><p>Ability to manage multiple projects simultaneously and meet tight deadlines</p></li><li><p>Exceptional communication and interpersonal skills</p></li><li><p>Knowledge of current digital media trends and audience engagement strategies</p></li><li><p>Ideal candidates will have had previous successful YouTube series producer credits</p></li><li><p>Preference to candidates with experience producing event or reveal structured shows</p></li></ul><p></p><p><strong>WHO OVERSEES YOU:</strong></p><p>The Showrunner/Producer will report directly to the CEO&nbsp;</p><p>&nbsp;</p><p><strong>WHO YOU OVERSEE:</strong></p><p>Currently, the Showrunner/Producer has no personnel reporting directly to him or her</p><p>&nbsp;</p><p><strong>WHERE IT ALL GOES DOWN:<br></strong>All the action takes place at our BRAND NEW studio in Burbank, CA!</p><p>&nbsp;</p><p><strong>WHEN THE MAGIC HAPPENS:</strong></p><p>Must be able to work a flexible schedule&nbsp;</p>",Producer,Burbank,United States,in-person,8000,month,Scripted & Skits,"Audience Retention, Filming, Growth & Strategy, People Management, Writing",NULL,"Facebook, Instagram, Snapchat, TikTok, YouTube","Cinematic, Dramatic, Family Friendly",https://www.youtube.com/@DharMann/videos
Dhar Mann Studios,"<p><strong>ABOUT CHANGING LIVES PRODUCTIONS:</strong></p><p>Changing Lives Productions is the video production company of Dhar Mann Studios, aimed at creating positive content for the social media generation. Our motivational videos focused on life, business, and relationships receive over 1 Billion views monthly and have garnered over 40 Billion views on Facebook, YouTube, Instagram and TikTok.</p><p>The team is led by Dhar Mann, a mission-driven entrepreneur with a global audience of over 90 Million social media followers and one of the highest viewed content creators in the world today. Our stories depict real life situations shown by actors that teach important life lessons, inspired by Dhar Mann's personal experience of success and failure. The company is driven by one founding principle: We’re not just telling stories, we’re changing lives.</p><p>&nbsp;</p><p><br><strong>BIG PICTURE:</strong></p><p>Are you a short form expert with a knack for creating viral content that attracts large audiences? We're on the hunt for a full-time Senior Manager, Short Form Content to help us craft share-worthy, funny and moving videos for all the shorts focused platforms. Speed and quality are key in our content game, so we need a versatile, self-driven, and resourceful individual who can deliver top-notch work in the ever evolving social space. As our team lead, you'll be working with a small but mighty group to bring our short form content vision to life. You'll be responsible for all aspects of writing, producing and editing, ensuring our content is not only a hit but also visually stunning and technically flawless.</p><p>&nbsp;</p><p><strong><br>HOW YOU’LL SPEND YOUR TIME:</strong></p><ul><li><p>Build and lead a Short Form group that creates audience scaling content</p></li><li><p>Write, direct, and produce short form content.</p></li><li><p>Develop creative ideas that resonate with our audiences on TikTok, YouTube Shorts, and Meta Reels.</p></li><li><p>Manage a small team of 1-2 members, ensuring smooth collaboration and high-quality output.</p></li><li><p>Coordinate and create collaborations with other content creators to expand reach and engagement.</p></li><li><p>Oversee the entire posting and publishing process, ensuring timely and consistent content delivery.</p></li></ul><p><br><strong>WHAT YOU HAVE:</strong></p><p></p><ul><li><p>3 years of experience writing, directing and shooting narrative comedy short form content with actors and diverse locations</p></li><li><p>Skilled at producing high-quality comedy and viral content quickly</p></li><li><p>Preference for candidate who have their own channels</p></li><li><p>Deep hands on experience on key shorts platforms - TikTok, YouTube Shorts, Reels.</p></li><li><p>Proven ability to thrive in a fast-paced environment while juggling a wide variety of projects</p></li><li><p>Ability to learn new skills quickly and collaborate effectively with our fun-loving team</p></li><li><p>Open to constructive feedback and eager to improve, always with a smile</p></li><li><p>Maintain a positive attitude and keep the laughs coming, even when the going gets tough</p></li></ul><p><br><strong>WHO OVERSEES YOU:</strong></p><p>The Senior Manager, Short Form Content &nbsp;reports to the Creative Lead at Changing Lives Production</p><p>&nbsp;<br><strong>WHO YOU OVERSEE:</strong></p><p>Shorts Director, Shorts Ideas associate</p><p>&nbsp;<br><strong>WHERE IT ALL GOES DOWN:</strong></p><p>All things creative take place at our BRAND NEW studio in Burbank, CA!</p><p>&nbsp;</p><p><strong>WHEN THE MAGIC HAPPENS:</strong></p><p>This is an on-call role, days and hours will vary depending on coverage and production schedules&nbsp;</p>","Business Operations, Producer, Scriptwriter, Social Media Manager",Burbank,United States,in-person,140000,year,"Comedy, Entertainment, Film & Animation, Kids & Family, Scripted & Skits","Audience Retention, Filming, Operations, People Management, Scheduling posts, Writing",NULL,"Facebook, Instagram, Snapchat, TikTok, YouTube","Aesthetic, Cinematic, Dramatic, Dreamy, Family Friendly, Fast-Paced, Funny, Happy, Romantic",https://www.youtube.com/@DharMann/shorts
Instagram Reels for Chef Videos,<p>Looking for a skilled video editor to help edit videos I've shot with some of the best chefs and bartenders in the world.</p>,Video Editor,NULL,NULL,NULL,2000,month,Food & Cooking,"Color Grading, Rough Cut & Sequencing, Splice & Dice","Adobe Premiere Pro, Davinci Resolve, Final Cut Pro","Instagram, TikTok","Aesthetic, Cinematic, Dramatic, Fast-Paced, High Production","https://www.instagram.com/p/C6xYYh-tGqT/?hl=en, https://www.instagram.com/p/C8BTMrUtX9s/?hl=en"
Roster,"<p>Our team at Roster is looking to hire a Video Editor to help us edit predominantly short-form content for our startup! We've historically only done text and photo content on our company socials and it's time for us to level it up with video content!</p><p></p><p><strong>We're looking to create some shorts similar to the styles of these folks:</strong></p><ul><li><p>Alex Lieberman (Founder of Morning Brew)</p></li><li><p>Noah Keegan</p></li><li><p>Beehiiv</p></li><li><p>Colin &amp; Samir</p></li><li><p>Jon Youshaei</p></li><li><p>Ali Abdaal</p></li></ul><p>&nbsp;</p><p><strong>Our company:</strong></p><p>Roster is hiring platform for creators &nbsp;— our AI recommendation engine gives you curated lists of people to hire (e.g. video editors, thumbnail designers, producers).&nbsp;</p><p>Our platform is home to talent who worked with the biggest creators in the world like MrBeast, Dude Perfect, and Joshua Weissman.&nbsp;</p><p>We catalogue all the data behind who works with which creators - think of us like an IMDb but for social media content.</p><p>&nbsp;</p><p><strong>The role:</strong></p><ul><li><p>Fully remote</p></li><li><p>Project-based (we don't have a regular filming schedule at the moment, but when we do have longer video footage, we'd want to work on slicing that into short-form content in batches)</p></li><li><p>The first project will be to take an hour-long footage from our panel at VidCon Anaheim and slice it into bite-sized pieces of shorts.&nbsp;</p></li></ul><p><strong>The ideal candidate:</strong></p><ul><li><p>Able to turnaround quickly as a lot of what we do is based on what's happening in the industry</p></li><li><p>Familiar with the creator economy as an industry since most of our content will be educational or related to this industry</p></li></ul>",Video Editor,NULL,NULL,NULL,500,month,"Entertainment, Finance & Business, Lifestyle & Vlogs, Tech & Startup","2D Animation, Audience Retention, Color Grading, CTR Optimization, Music Editing, Rough Cut & Sequencing, Sourcing Stock Footage, Splice & Dice, Storyboarding, Thumbnail Design",Notion,"Instagram, TikTok, YouTube","Fast-Paced, Helpful, High Production, Talking Head","https://www.instagram.com/p/C8IvOdePYcY/, https://www.youtube.com/shorts/1seHheUfXTc, https://www.youtube.com/shorts/6jPB3RfoYD0, https://www.youtube.com/shorts/diUXlUETG7A, https://www.youtube.com/shorts/F-3JKqlgclc, https://www.youtube.com/shorts/hnozQz-X950, https://www.youtube.com/shorts/nlPMciddlw8, https://www.youtube.com/shorts/OeNKbnGCu_k, https://www.youtube.com/shorts/OK53IwjPvqk, https://www.youtube.com/shorts/pvzm08vtuEw, https://www.youtube.com/shorts/qFmV3kPs5Dw, https://www.youtube.com/shorts/rbFdVsPNcjU, https://www.youtube.com/shorts/yt7V8OoBKlk, https://www.youtube.com/shorts/zkhzGM8eMGc, https://www.youtube.com/watch?v=S7NyS7KRkVo"
